context_precision_without_reference,context_precision_with_reference,context_recall,context_entity_recall,context_noise_sensitivity,context_semantic_similarity,faithfulness,context_response_relevancy,context_factual_correctness,bleu,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougel_precision,rougel_recall,rougel_f1,id
0.0,0.0,0.0,0.0,0.0,0.8115172272316512,0.9,0.20553502554980163,0.45,0.18718716632432567,0.045454545454545456,0.4090909090909091,0.08181818181818182,0.02030456852791878,0.19047619047619047,0.03669724770642201,0.045454545454545456,0.4090909090909091,0.08181818181818182,20
0.3333333333,0.0,0.0,0.0999999999,0.0,0.6338604456795337,0.6666666666666666,0.0,0.0,0.0,0.2127659574468085,0.13157894736842105,0.16260162601626016,0.06521739130434782,0.04,0.049586776859504134,0.1276595744680851,0.07894736842105263,0.09756097560975609,21
0.9999999999,0.99999999995,1.0,0.0,0.0,0.9484988332387032,1.0,0.35417769582630837,1.0,0.01138286330681933,0.8974358974358975,0.5384615384615384,0.673076923076923,0.7105263157894737,0.421875,0.5294117647058824,0.8461538461538461,0.5076923076923077,0.6346153846153845,22
0.9999999999,0.49999999995,1.0,0.0,0.5,0.814264113591219,0.8333333333333334,0.0,0.0,0.0,0.22580645161290322,0.2413793103448276,0.23333333333333334,0.07608695652173914,0.08139534883720931,0.07865168539325844,0.15053763440860216,0.16091954022988506,0.15555555555555556,23
0.9999999999,0.0,0.0,0.2857142853061225,0.0,0.7300597616566027,0.5454545454545454,0.3876623670122837,0.21,6.939843277158474e-05,0.21333333333333335,0.26229508196721313,0.23529411764705885,0.053691275167785234,0.06611570247933884,0.059259259259259255,0.13333333333333333,0.16393442622950818,0.14705882352941174,24
0.9999999999,0.0,0.5,0.16666666652777776,0.7142857142857143,0.8155967539717377,1.0,0.2992228268087164,0.0,0.0,0.25510204081632654,0.390625,0.308641975308642,0.13402061855670103,0.20634920634920634,0.16249999999999998,0.16326530612244897,0.25,0.19753086419753088,25
0.49999999995,0.3333333333,1.0,0.0,0.0,0.8036719304227133,0.75,0.36970740390476475,0.0,0.5623413251903491,0.1320754716981132,0.7777777777777778,0.22580645161290322,0.09615384615384616,0.625,0.16666666666666669,0.1320754716981132,0.7777777777777778,0.22580645161290322,26
0.9999999999,0.9999999999,1.0,0.249999999375,0.0,0.9973265494931007,0.5,0.3394450253866494,1.0,0.3086194627209984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27
0.9999999999,0.0,0.0,0.0,0.0,0.7823808133934109,1.0,0.13745964626638985,0.0,0.0,0.1702127659574468,0.35555555555555557,0.2302158273381295,0.0967741935483871,0.20454545454545456,0.13138686131386862,0.1702127659574468,0.35555555555555557,0.2302158273381295,28
0.9999999999,0.9999999999,1.0,0.0,0.0,0.7469859595973241,0.3333333333333333,0.18149185487619027,0.5,0.0,0.2903225806451613,0.6923076923076923,0.4090909090909091,0.26666666666666666,0.6666666666666666,0.3809523809523809,0.2903225806451613,0.6923076923076923,0.4090909090909091,29
0.9999999999,0.9999999999,1.0,0.0,0.5,0.8295440400366227,1.0,0.4415735338431997,0.8,0.0,0.5657894736842105,0.9347826086956522,0.7049180327868853,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.5526315789473685,0.9130434782608695,0.6885245901639344,30
